Tactic,N,Agreement_Rate_Pct,astronaut_Avg_Utility,Deception_Rate_Pct,Avg_Convo_Length,astronaut_Pct_vs_Baseline
Neither Deceptive (baseline),10,100.0,1.0095,10.0,7.0,0.00
Anchor-and-Refuse,10,50.0,0.2648,100.0,11.0,-73.77
Bait-and-Switch,10,100.0,0.6119,90.0,8.6,-39.39
Charm Offensive,10,80.0,0.6536,80.0,10.0,-35.26
Cherry-Picked Metrics,10,90.0,0.8995,100.0,8.0,-10.90
Confidence Erosion,10,80.0,0.9214,80.0,8.6,-8.73
Hidden Contingencies,10,100.0,0.7505,40.0,5.0,-25.66
Information Flood,10,60.0,0.7016,80.0,13.4,-30.50
Misattributed Authority,10,100.0,0.5567,80.0,10.2,-44.86
Obligation Trigger,10,90.0,0.8598,70.0,9.0,-14.83
Phantom Alternatives,10,100.0,0.8705,80.0,9.4,-13.77
Pleasure-Priming,10,100.0,0.7062,90.0,8.0,-30.05
Post-hoc Reinterpretation,10,90.0,0.7683,70.0,9.0,-23.90
Reassuring Dismissal,10,100.0,0.7767,100.0,7.2,-23.07
Red Herring,10,80.0,0.6702,90.0,23.4,-33.61
Selective Disclosure,10,100.0,0.8367,80.0,7.6,-17.12
Slow-Burning Trust-Builder,10,70.0,0.8699,100.0,9.4,-13.83
Strategic Ambiguity,10,100.0,0.5919,70.0,8.8,-41.37
The Fake-Concession,10,100.0,0.8190,100.0,14.8,-18.87
The False-Expert Bluff,9,100.0,0.7217,88.9,9.3,-28.51
The Time-Pressure Fabricator,10,90.0,0.8815,90.0,9.4,-12.68
