Tactic,N,Agreement_Rate_Pct,SolWave_Avg_Utility,Deception_Rate_Pct,Avg_Convo_Length,SolWave_Pct_vs_Baseline
Neither Deceptive (baseline),10,100.0,0.8293,90.0,10.8,0.00
Anchor-and-Refuse,10,0.0,,90.0,9.4,0.00
Bait-and-Switch,10,90.0,0.7185,100.0,9.0,-13.36
Charm Offensive,10,90.0,0.7319,70.0,12.6,-11.75
Cherry-Picked Metrics,9,77.8,0.8038,100.0,13.1,-3.08
Confidence Erosion,10,100.0,0.7273,100.0,15.4,-12.30
Hidden Contingencies,10,100.0,0.7693,100.0,7.0,-7.23
Information Flood,10,50.0,0.8187,100.0,14.0,-1.29
Misattributed Authority,10,60.0,0.6422,100.0,12.4,-22.56
Obligation Trigger,10,80.0,0.7300,100.0,17.0,-11.98
Phantom Alternatives,10,70.0,0.6990,100.0,14.4,-15.71
Pleasure-Priming,10,80.0,0.8467,100.0,10.2,2.09
Post-hoc Reinterpretation,10,80.0,0.6683,100.0,16.6,-19.41
Reassuring Dismissal,10,80.0,0.8350,90.0,15.4,0.68
Red Herring,10,60.0,0.7733,80.0,22.0,-6.75
Selective Disclosure,10,100.0,0.7560,90.0,9.8,-8.84
Slow-Burning Trust-Builder,10,90.0,0.8370,100.0,13.8,0.93
Strategic Ambiguity,10,100.0,0.7507,90.0,10.6,-9.49
The Fake-Concession,10,80.0,0.8317,100.0,14.8,0.28
The False-Expert Bluff,10,50.0,0.5600,90.0,15.6,-32.48
The Time-Pressure Fabricator,10,70.0,0.5200,100.0,13.0,-37.30
