Tactic,N,Agreement_Rate_Pct,astronaut_Avg_Utility,Deception_Rate_Pct,Avg_Convo_Length,astronaut_Pct_vs_Baseline
Neither Deceptive (baseline),10,100.0,0.9457,40.0,6.2,0.00
Anchor-and-Refuse,9,77.8,0.4279,88.9,10.7,-54.75
Bait-and-Switch,10,100.0,0.6086,70.0,8.6,-35.65
Charm Offensive,10,90.0,0.9413,70.0,8.4,-0.47
Cherry-Picked Metrics,9,100.0,0.8735,100.0,8.4,-7.63
Confidence Erosion,10,90.0,0.8148,100.0,7.2,-13.84
Hidden Contingencies,10,100.0,0.7952,90.0,6.6,-15.91
Information Flood,10,100.0,0.7090,70.0,6.2,-25.03
Misattributed Authority,10,100.0,0.7281,100.0,9.4,-23.01
Obligation Trigger,10,100.0,0.8524,90.0,9.0,-9.87
Phantom Alternatives,10,100.0,0.7767,80.0,8.2,-17.88
Pleasure-Priming,9,100.0,0.7211,88.9,6.9,-23.75
Post-hoc Reinterpretation,10,100.0,0.7462,90.0,7.4,-21.10
Reassuring Dismissal,10,100.0,0.7667,80.0,7.0,-18.93
Red Herring,10,80.0,0.8071,90.0,8.4,-14.65
Selective Disclosure,9,100.0,0.7958,88.9,8.7,-15.86
Slow-Burning Trust-Builder,9,100.0,0.8291,88.9,7.3,-12.33
Strategic Ambiguity,9,88.9,0.6077,88.9,8.0,-35.74
The Fake-Concession,10,100.0,0.6524,80.0,8.8,-31.02
The False-Expert Bluff,10,100.0,0.7886,90.0,8.0,-16.62
The Time-Pressure Fabricator,10,100.0,0.7995,80.0,7.2,-15.46
